31714:607,472,675,123,636,360,783,295,101,605
85500:675,99,558,496,504,535,481,783,724,224
29129:99,494,783,101,398,472,251,533,373,724
51751:783,481,675,847,472,535,442,800,99,432
38636:101,447,675,432,94,357,815,442,284,315
41039:28,538,815,398,99,371,4,522,251,494
47350:537,672,13,123,830,133,476,273,857,251
42874:783,724,675,467,504,418,105,815,44,123
37496:783,123,645,476,105,99,607,529,724,675
75392:123,494,703,398,251,504,783,675,472,22
40179:783,123,826,599,675,256,315,504,472,28
78321:675,123,28,99,207,558,783,472,295,292
90942:99,675,504,645,636,64,594,312,378,178
72740:783,645,99,357,675,481,699,581,784,626
42104:167,99,224,724,101,329,783,64,847,618
20616:815,224,435,538,826,783,123,94,4,504
39259:504,675,525,123,481,296,645,154,529,483
31190:236,99,699,476,783,420,472,442,123,558
32436:1,2,4,7,13,17,22,23,28,30
91856:537,672,13,123,830,133,476,273,857,251
81126:123,783,472,703,476,330,22,116,303,420
89351:99,7,830,641,101,236,481,675,418,638
46276:854,99,677,703,804,638,783,360,4,844
23578:99,432,783,442,558,826,251,447,815,699
75345:99,123,13,432,537,854,496,783,178,815
44137:178,28,155,588,472,618,529,675,483,854
57862:510,357,703,654,739,55,303,588,783,7
97811:783,123,79,22,295,284,420,155,472,442
40305:99,123,116,783,535,594,347,432,815,418
81237:481,504,815,675,535,432,99,783,472,28
85720:1,2,4,7,13,17,22,23,28,30
47763:703,854,675,847,178,529,315,483,472,17
36698:44,815,724,420,783,116,675,636,476,418
91924:675,815,28,525,783,504,577,472,432,522
26603:236,693,783,308,504,675,815,44,792,101
50821:236,815,99,308,504,295,792,693,675,472
38206:420,472,783,99,699,558,442,476,815,133
78218:675,480,703,447,783,99,28,101,525,815
94245:123,472,504,535,442,81,675,357,615,236
32564:178,533,496,99,783,251,724,81,420,123
93087:496,675,703,481,123,504,472,645,432,476
56403:677,783,123,600,745,856,116,435,446,66
52541:724,783,472,44,815,99,4,36,101,116
91779:99,675,504,645,178,525,847,64,101,783
88638:804,472,44,123,815,703,847,4,771,638
35169:645,284,123,675,48,44,4,432,312,504
78275:504,675,525,496,481,116,645,99,312,123
61900:442,504,123,99,472,296,654,783,703,826
37324:854,535,28,123,472,510,476,675,558,295
74605:675,504,123,481,432,442,645,525,535,472
29216:571,830,418,123,454,504,815,783,324,44
58987:123,504,256,525,675,116,704,101,783,804
21482:1,2,4,7,13,17,22,23,28,30
73305:99,4,432,284,312,360,133,435,123,116
47895:178,783,360,703,13,123,675,618,496,533
50030:1,2,4,7,13,17,22,23,28,30
86263:854,504,510,675,525,285,312,97,123,645
38649:588,675,815,581,504,99,525,472,645,420
37946:537,672,13,123,830,133,476,273,857,251
20157:236,308,693,792,504,295,675,296,104,472
78818:472,783,48,638,64,558,99,360,675,804
72524:496,99,537,675,481,13,123,178,315,615
42275:178,533,432,123,529,28,496,357,13,856
94412:476,442,699,99,123,783,420,116,677,472
51440:178,79,494,662,615,44,428,724,123,533
39856:178,854,703,13,844,496,771,675,472,537
51588:72,675,123,525,504,535,745,4,48,81
76847:675,504,641,357,654,483,123,645,826,783
46012:854,535,472,123,558,28,476,435,295,510
91849:537,672,13,123,830,133,476,273,857,251
99339:1,2,4,7,13,17,22,23,28,30
41977:703,677,303,123,420,99,330,418,178,533
90834:558,699,101,475,99,388,504,783,273,496
92309:675,99,432,28,504,476,123,636,724,645
91064:123,44,447,296,724,675,783,425,36,504
23007:99,472,123,783,703,815,22,116,600,101
38459:99,123,22,724,504,481,295,303,472,675
91013:854,535,28,123,472,510,476,675,558,295
82787:123,22,151,99,44,672,783,116,360,296
83090:675,783,815,724,472,99,504,44,22,315
45567:675,504,529,783,99,472,123,645,724,22
59756:99,123,504,154,472,724,481,44,675,295
80761:675,99,577,101,525,116,123,447,472,481
56902:432,675,783,44,224,481,123,23,116,724
55905:48,99,447,101,357,476,815,284,746,504
22955:675,783,504,525,432,207,594,804,444,588
39333:728,783,99,472,645,28,675,481,79,854
38119:675,442,783,123,420,481,472,4,432,815
97505:99,571,123,783,699,357,420,116,442,22
41591:783,815,538,442,435,116,99,123,101,447
31698:99,675,476,783,116,123,105,357,447,724
86650:783,123,105,504,315,675,529,99,454,638
79306:783,472,178,123,99,525,510,435,581,481
96948:1,2,4,7,13,17,22,23,28,30
58337:675,504,48,101,123,783,633,99,472,155
35616:99,116,783,44,615,123,454,724,826,48
27883:432,398,494,251,99,442,447,724,167,522
67280:675,588,525,504,284,28,425,472,745,558
77525:1,2,4,7,13,17,22,23,28,30
23408:675,481,432,99,645,724,535,296,504,28
72301:1,2,4,7,13,17,22,23,28,30
26864:28,675,398,703,256,525,645,504,330,94
31318:123,236,94,475,7,22,481,803,783,371
39797:101,645,804,504,472,476,675,218,123,615
25809:1,2,4,7,13,17,22,23,28,30
68559:537,672,13,123,830,133,476,273,857,251
39215:123,675,432,504,472,116,224,703,525,72
64267:504,783,123,116,44,472,724,815,571,190
46878:571,357,432,295,771,525,476,487,116,123
46609:645,736,783,481,607,675,504,535,447,28
88654:99,236,442,472,783,675,535,101,494,607
65265:99,116,783,44,826,123,432,803,571,675
50340:537,672,13,123,830,133,476,273,857,251
22699:675,504,496,123,425,529,745,476,155,724
66175:442,783,675,155,94,703,307,845,472,4
86131:178,854,558,533,64,844,783,618,815,703
35001:99,312,780,504,44,815,538,825,607,481
50908:504,123,780,675,421,44,645,496,295,481
72199:675,724,44,178,633,472,123,116,571,352
87806:675,99,783,296,815,44,398,724,101,472
82028:123,99,675,587,724,783,510,315,292,472
54871:537,672,13,123,830,133,476,273,857,251
20873:675,99,476,123,442,724,432,504,783,4
60501:675,703,28,677,442,497,783,420,504,323
43106:123,783,22,675,724,535,28,615,295,476
35888:99,296,504,116,123,529,783,724,815,44
35259:825,312,101,360,99,190,739,780,771,7
45779:504,432,675,582,525,558,155,296,476,31
55846:854,178,844,558,199,473,815,510,566,504
96730:178,79,494,662,615,44,428,724,123,533
67573:504,675,472,44,432,525,645,703,804,800
24235:783,638,178,481,99,472,854,599,558,699
87653:504,472,99,483,703,675,496,17,116,783
57387:675,123,783,48,535,116,645,525,504,481
77155:123,854,178,22,783,432,472,847,558,504
28103:537,672,13,123,830,133,476,273,857,251
29257:703,815,236,295,675,783,303,472,330,792
50533:638,703,472,783,675,360,804,4,325,357
22651:675,783,472,504,155,123,510,535,800,481
84698:99,481,783,645,472,116,675,7,44,504
32528:494,481,178,675,783,538,4,99,525,826
25512:535,724,675,101,496,472,504,481,64,123
60654:236,481,99,472,745,116,784,783,44,315
59921:599,675,224,815,36,123,472,2,783,571
48647:703,360,357,101,123,638,94,538,472,303
85557:783,442,123,504,167,22,99,496,675,677
76775:675,745,101,303,815,582,783,442,804,99
43173:537,672,13,123,830,133,476,273,857,251
60636:815,101,116,99,724,558,123,251,432,388
26372:123,724,783,44,99,284,780,296,675,116
